Id,Job,Company,Address,Deadline,URL
111,IT Officer,Asian Paints (Nepal),Hetauda,"April 3, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
112,Angular Developer,Proshore Nepal,"Tinkune Marg, Kathmandu, Nepal","April 6, 2019, 11:59 p.m.",www.merojobs.com/google/login/?method=oauth2
113,Technical Writer,Eight Square,"Kathmandu, Nepal","April 2, 2019, 11:55 p.m.",www.merojobs.com/it-officer-332/
114,PHP Developer,KTM CTY,Kathmandu,"April 9, 2019, 11:55 p.m.",www.merojobs.com/angular-developer-11/
115,"Team Lead (Java, Python, Javascript, NodeJs)",GSignalX Pvt. Ltd.,"Trade Tower, Thapathali, Kathmandu","April 9, 2019, 11:55 p.m.",www.merojobs.com/technical-writer-24/
116,School Nurse,Eurokids Tinkune,"Tinkune, Kathmandu","April 5, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
117,Medical Officer,Nepal International Fertility & Laparoscopic Centre,Pulchowk,"April 4, 2019, 11:59 p.m.",www.merojobs.com/google/login/?method=oauth2
118,Marketing Executive,Synergy Therapeutics,"Kathmandu , Janakpur , Pokhara, Biratnagar , Birgunj","April 6, 2019, 11:55 p.m.",www.merojobs.com/school-nurse-10/
119,Medical Officer,Raskot Community Hospital,"Raskot-5,Kalikot, Karnali Province","April 3, 2019, 11:55 p.m.",www.merojobs.com/medical-officer-65/
120,Hospital Manager and Project Executive,Raskot Community Hospital,"Raskot-5, Kalikot, Karnali Province","April 4, 2019, 11:55 p.m.",www.merojobs.com/marketing-executive-774/
121,Awards Coordinator,Save the Children,Kathmandu,"April 5, 2019, 5 p.m.",www.merojobs.com/facebook/login/
122,Finance & Admin. Officer,Save the Children,Sarlahi,"April 5, 2019, 5 p.m.",www.merojobs.com/google/login/?method=oauth2
123,Sr. MEL Officer,Humanity & Inclusion (HI),Country Office with field visits,"April 7, 2019, 11:55 p.m.",www.merojobs.com/awards-coordinator/
124,Program Manager,Opportunity Village Nepal,Nepal,"April 5, 2019, 11:55 p.m.",www.merojobs.com/finance-admin-officer-11/
125,Advocacy Officer,National Federation of the Deaf Nepal (NDFN),"Kathmandu, Nepal with frequent travel in the project  dis...","April 7, 2019, 11:55 p.m.",www.merojobs.com/sr-mel-officer/
126,Head of Operations (HOO),Kathford College of Engineering and Management,"Lalitpur, Nepal","April 2, 2019, 11:59 p.m.",www.merojobs.com/facebook/login/
127,School Librarian,Bhaktapur NIST School,Bhaktapur,"April 5, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
128,Academic Head,Bhaktapur NIST School,"Bhaktapur, Nepal","April 5, 2019, 11:55 p.m.",www.merojobs.com/head-of-operations-hoo-2/
129,Vice Principal,Bhaktapur NIST School,"Bhaktapur, Nepal","April 5, 2019, 11:55 p.m.",www.merojobs.com/school-librarian-4/
130,"School Coordinators (Primary, Middle School & High school)",Bhaktapur NIST School,"Bhaktapur, Nepal","April 5, 2019, 11:55 p.m.",www.merojobs.com/academic-head-3/
131,Assistant - IT,Everest Bank Limited,"Dharan, Dhulikhel","April 2, 2019, 5 p.m.",www.merojobs.com/facebook/login/
132,Waiter / Waitress,Captain Egg,Hadigau,"April 12, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
133,Chef / Head Chef,Himalayan Java Coffee,"Kathmandu, Nepal","April 5, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
134,Sales & Marketing Team Member,The Nana Hotels,"Hadigau, Kathmandu","April 13, 2019, 11:55 a.m.",www.merojobs.com/waiter-waitress-22/
135,Executive Chef,Ai-La Restaurant Lounge,"Kumaripati, Lalitpur","April 5, 2019, 11:55 p.m.",www.merojobs.com/chef-head-chef/
136,Restaurant Manager,Ai-La Restaurant Lounge,"Kathmandu, Nepal","April 5, 2019, 11:55 p.m.",www.merojobs.com/sales-marketing-team-member/
137,Content Writer,Hopnepal.com,"Maitidevi, Kathmandu","April 6, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
138,Content Writers / Data Analyst (Evening Shift),Datalytics,"Bhatbhateni, Naxal","April 7, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
139,Content / Article Writer,Broadway Infosys Nepal,"Shriganesh Marg, Subidhanagar, Tinkune, Kathmandu 44600, ...","April 3, 2019, 11:55 p.m.",www.merojobs.com/writer-3/
140,Customer Support Interns - Few,Max Digital TV,"Kathmandu, Nepal","April 6, 2019, 11:55 p.m.",www.merojobs.com/content-writers-data-analyst/
141,Content Writer,Global Entrepreneurship Bootcamp,"Anamnagar, Kathmandu","April 6, 2019, 11:55 p.m.",www.merojobs.com/content-article-writer-13/
142,Executive Secretary,A Conglomerate Company,"Kathmandu, Nepal","April 2, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
143,School Front Desk Officer,Bhaktapur NIST School,Bhaktapur,"April 5, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
144,Executive Secretary,Gurkhas Finance Limited,"Dillibazar, Kathmandu","April 5, 2019, 11:55 p.m.",www.merojobs.com/executive-secretary-98/
145,Office Secretary,Osho Recruiting Agency,"Purano Baneshwor, Kathmandu","April 4, 2019, 11:59 p.m.",www.merojobs.com/school-front-desk-officer/
146,Receptionist,National School of Sciences,"Kathmandu, Nepal","April 2, 2019, 11:59 p.m.",www.merojobs.com/executive-secretary-100/
147,Quality Control Manager,S.R. Drug Laboratories Pvt. Ltd.,"Tripureshwor, Kathmandu","April 6, 2019, 5 p.m.",www.merojobs.com/facebook/login/
148,Quality Assurance Manager,S.R. Drug Laboratories Pvt. Ltd.,"Tripureshwor, Kathmandu","April 6, 2019, 5 p.m.",www.merojobs.com/google/login/?method=oauth2
149,Sr. Maintenance Manager - Execution,Airtech Industries Pvt. Ltd.,"Kathmandu, Nepal","April 3, 2019, 5 p.m.",www.merojobs.com/quality-control-manager-18/
150,CCU- Connectivity Care Unit,Bajaj 2 Wheelers,"Maharajgunj, Kathmandu","April 3, 2019, 5 p.m.",www.merojobs.com/quality-assurance-manager-8/
151,हेड मेकानिक्स,Bajaj 2 Wheelers,"Maharajgunj, Kathmandu","April 3, 2019, 5 p.m.",www.merojobs.com/sr-maintenance-manager-execution-2/
152,Graphic Designer,Innovate Nepal Group,"Kathmandu, Nepal","April 5, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
153,Graphic Designer,Kreativ Nepa,"Babarmahal, Near Rosebud School","April 6, 2019, 11:55 p.m.",www.merojobs.com/google/login/?method=oauth2
154,Graphic Designer,MOBEECO,"Kathmandu, Nepal","April 3, 2019, 11:55 p.m.",www.merojobs.com/graphic-designer-602/
155,Graphics Designer,Amplecube,Kathmandu,"April 4, 2019, 11:55 p.m.",www.merojobs.com/graphic-designer-603/
156,IT & Website Designer,Fishtail Tours & Travels,"Baluwatar, Kathmandu, Central Development Region, Nepal","April 2, 2019, 6:55 p.m.",www.merojobs.com/graphic-designer-2d-3d-posters/
157,Storekeeper- Few,Chhinnamasta Educational Academy & Medical College,"Rajbiraj-6, Saptari","April 20, 2019, 5 p.m.",www.merojobs.com/facebook/login/
158,Trainee Assistant,Siddhartha Bank,Inside and Outside Valley,"April 15, 2019, 11:55 p.m.",www.merojobs.com/facebook/login/
159,Assistant -Anesthesia,Tilganga Institute of Opthalmology,Kathmandu,"April 13, 2019, 5 p.m.",www.merojobs.com/google/login/?method=oauth2
160,Store Manager/ Cashier,Pioneer Trade Concern,"Kathmandu, Nepal","April 14, 2019, 11:55 p.m.",www.merojobs.com/trainee-assistant-43/
